Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,UNSD Geographical Grouping
Incident,2017,July,Unknown,Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Central Mediterranean,"Body found near Sabratha, Libya",IOM Libya,Uncategorized
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Cage Ranch, near Falfurrias, Brooks County, Texas, USA",US Border Patrol / South Texas Human Rights Center,Northern America
Incident,2017,July,Unknown,Western Africa,Unknown,9,0,9,0,0,9,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,0,1,0,Mixed or unknown,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Blvrd. Luis Donaldo Colosio, Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas,Central America
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Northern Africa,Europe,Sudan,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"Gare du Nord, Brussels, Belgium - bus destination Calais, France","Flandre Info, Institute of Race Relations",Western Europe
Incident,2017,July,Eastern Africa (P),Northern Africa,Unknown,5,0,5,0,0,5,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,July,Eastern Africa (P),Northern Africa,Unknown,3,0,3,0,0,3,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Split Incident,2017,July,Latin America / Caribbean (P),North America,"Ecuador,Guatemala,Mexico,Unknown",10,0,10,29,0,10,0,Mixed or unknown,US-Mexico border crossing,"Walmart parking lot in San Antonio, Bexar County, Texas, USA",NY Times,Northern America
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Central America,Central America,El Salvador,1,0,1,0,0,1,1,Violence,,"Barrio Anáhuac, Cacahoatán, Chiapas, Mexico, near the border with Guatemala",Diario Libre,Central America
Split Incident,2017,July,Central America,North America,"Guatemala,Unknown",5,0,5,0,3,2,2,Drowning,US-Mexico border crossing,"Río Bravo, between Ciudad Juárez, Mexico, and El Paso, El Paso County, Texas, USA","Ministerio de Relaciones Exteriores de Guatemala, The Guardian",Northern America
Incident,2017,July,Central America,North America,Honduras,1,0,1,0,0,0,0,Drowning,US-Mexico border crossing,"Río Bravo, 200 meters from 'la Cruz del Inmigrante', Reynosa, Tamaulipas, Mexico",Zócalo,Northern America
Incident,2017,July,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Bam, Kerman province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,July,Unknown,Western Africa,Unknown,4,0,4,0,0,4,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Desert outside Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Central America,Central America,Guatemala,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks between 4ª Avenida Sur and 26ª Calle Poniente, Mapastepec, Chiapas, Mexico",Diario del Sur,Central America
Incident,2017,July,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Ash Shamaliyah, Sudan, near the border with Egypt",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,July,Sub-Saharan Africa (P),Mediterranean,Unknown,13,3,16,167,8,0,0,Vehicle accident / death linked to hazardous transport,Central Mediterranean,"Bodies found in dinghy 15 miles north of Sabratha, Libya","Proactiva Open Arms, UNHCR Italy",Uncategorized
Incident,2017,July,Central America,Central America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico",La Rancherita del Aire,Central America
Incident,2017,July,Unknown,Mediterranean,Unknown,2,0,2,0,0,0,0,Drowning,Central Mediterranean,"Bodies recovered in Tripoli, Libya",IOM Libya,Uncategorized
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,0,1,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Gossi, Mali",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Northern Africa,Unknown,4,0,4,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,July,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Boshahr province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Mixed,Mediterranean,Unknown,8,0,8,9,2,0,5,Drowning,Eastern Mediterranean,"Off the coast of Çeşme, İzmir, Türkiye","Turkish Coast Guard Command, IOM Türkiye",Uncategorized
Incident,2017,July,Western Asia,Western Asia,Syrian Arab Republic,2,0,2,0,0,2,0,Violence,Syria to Türkiye,"Syrian/Turkish border, near Harem, Idlib province",Syrian Observatory for Human Rights,Western Asia
Incident,2017,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks near Los Aldamas, Nuevo León, Mexico",Milenio,Central America
Incident,2017,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks near Chahuites, Oaxaca, Mexico",NVI Noticias,Central America
Incident,2017,July,Western Asia,Western Asia,Syrian Arab Republic,4,0,4,0,0,0,0,Violence,Syria to Türkiye,"Syrian/Turkish border, near Darkoush, Idlib province",Syrian Observatory for Human Rights,Western Asia
Incident,2017,July,Unknown,Northern Africa,Unknown,3,0,3,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Unknown,Northern Africa,Unknown,4,0,4,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,July,Unknown,Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Western Mediterranean,"10 miles south of Isla de las Palomas, Tarifa, Spain",Diario de Cádiz,Uncategorized
Incident,2017,July,Unknown,Northern Africa,Unknown,5,0,5,0,0,0,0,Violence,,"Tripoli, Libya",MHub,Northern Africa
Incident,2017,August,Sub-Saharan Africa (P),Mediterranean,Unknown,8,0,8,119,3,5,0,Mixed or unknown,Central Mediterranean,Bodies found in dinghy off the coast of Libya,IOM Italy,Uncategorized
Incident,2017,August,Unknown,Central America,Unknown,1,3,4,0,0,0,0,Drowning,,"Playa La Boquita, Diriamba, Carazo, Nicaragua",La Prensa de Nicaragua,Central America
Incident,2017,August,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Otay mountain, San Diego County, California, USA, 2 miles north of the Mexican border",US Border Patrol,Northern America
Incident,2017,August,Latin America / Caribbean (P),Central America,Unknown,1,2,3,0,0,1,1,Drowning,US-Mexico border crossing,"Río Bravo, near El Patinadero, Nuevo Laredo, Tamaulipas, Mexico",El Mañana,Central America
Incident,2017,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,August,Western Asia,Western Asia,Syrian Arab Republic,1,0,1,0,0,1,1,Violence,Syria to Türkiye,"Syrian/Turkish border, Deir Ezzor province","EASO Social Media Monitoring Reports, Syrian Observatory for Human Rights",Western Asia
Incident,2017,August,Eastern Africa,Europe,Eritrea,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"A16 motorway, near Guemps, Pas-de-Calais, France","L'Humanité, Institute of Race Relations",Western Europe
Incident,2017,August,Central America,Central America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Nuevo Laredo, Tamaulipas, Mexico",El Mañana,Central America
Incident,2017,August,Central America,Central America,El Salvador,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks near Tuzantán, Chiapas, Mexico",El Universal,Central America
Incident,2017,August,Unknown,Northern Africa,Unknown,3,0,3,0,0,3,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,August,Unknown,Mediterranean,Unknown,8,0,8,0,0,0,0,Mixed or unknown,Central Mediterranean,"Bodies found in a dinghy in Milita, near Sabratha, Libya",IOM Libya,Uncategorized
Incident,2017,August,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Violence,Afghanistan to Iran,"Kerman province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Benavides Ranch, Brooks County, Texas",South Texas Human Rights Center,Northern America
Incident,2017,August,Unknown,Mediterranean,Unknown,2,0,2,0,0,2,0,Drowning,Central Mediterranean,"Bodies recovered in Az Zawiyah, Libya",IOM Libya,Uncategorized
Incident,2017,August,Central America,North America,Honduras,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Ranch near Kingsville, Kleberg County, Texas, USA",US Border Patrol via USA Today,Northern America
Incident,2017,August,Western Asia,Western Asia,Syrian Arab Republic,2,0,2,0,0,2,0,Violence,Syria to Türkiye,"Syrian/Turkish border, near Darkoush, Idlib province",Syrian Observatory for Human Rights,Western Asia
Incident,2017,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,August,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,August,Western Asia,Western Asia,Syrian Arab Republic,1,0,1,0,0,1,0,Violence,Syria to Türkiye,"Syrian/Turkish border, near Al-Malikiya, Hasaka province",Syrian Observatory for Human Rights,Western Asia
Incident,2017,August,Unknown,Northern Africa,Unknown,4,0,4,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,August,Unknown,Northern Africa,Unknown,2,0,2,0,0,2,0,Mixed or unknown,Sahara Desert crossing,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,August,Western Africa,Mediterranean,Guinea,1,0,1,11,0,1,0,Drowning,Western Mediterranean,"Off the coast of Benzú, Ceuta, Spain",El País,Uncategorized
Incident,2017,August,Western Asia,Western Asia,Syrian Arab Republic,1,0,1,0,0,1,0,Violence,Syria to Türkiye,Unspecified location on the Syrian/Turkish border,Syrian Observatory for Human Rights,Western Asia
Split Incident,2017,August,Eastern Africa,Western Asia,Ethiopia,29,6,35,85,12,17,29,Drowning,Horn of Africa to Yemen crossing,"Off the coast of Shabwa, Hadhramaut Governorate, Yemen",IOM Yemen,Uncategorized
Incident,2017,August,Eastern Africa,Western Asia,Ethiopia,12,6,18,141,4,14,0,Mixed or unknown,Horn of Africa to Yemen crossing,"Off the coast of Shabwa, Hadhramaut Governorate, Yemen",IOM Yemen,Uncategorized
Incident,2017,August,Central America,North America,El Salvador,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"West Highway 285 with County Road 108, Brooks County, Texas, USA",US Border Patrol / South Texas Human Rights Center,Northern America
Incident,2017,August,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Mariposa Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,Northern America
Incident,2017,August,Central America,North America,Mexico,2,0,2,0,1,1,1,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Interstate 15 near Rancho Bernardo, San Diego, California, USA",NVI Noticias,Northern America
Incident,2017,August,Unknown,Northern Africa,Unknown,4,0,4,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,August,Western Asia,Western Asia,Syrian Arab Republic,1,0,1,0,1,0,0,Violence,Syria to Türkiye,"Syrian/Turkish border, near Darkoush, Idlib province",Syrian Observatory for Human Rights,Western Asia
Incident,2017,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,August,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,August,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Rancho El Progreso, Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas,Central America
Incident,2017,August,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Violence,Afghanistan to Iran,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,August,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,August,Central America,Central America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Carretera Nacional km 14, Nuevo Laredo, Tamaulipas, Mexico",El Mañana,Central America
